arrondissement,Quartiers,Population,superficie
1er,Saint-Germain-l'Auxerrois,1 672,"86,9"
2e,Halles,8 984,"41,2"
3e,Palais-Royal,3 195,"27,4"
4e,Place-Vendôme,3 044,"26,9"
5e,Gaillon,1 345,"18,8"
6e,Vivienne,2 917,"24,4"
7e,Mail,5 783,"27,8"
8e,Bonne-Nouvelle,9 595,"28,2"
9e,Arts-et-Métiers,9 560,"31,8"
10e,Enfants-Rouges,8 562,"27,2"
11e,Archives,8 609,"36,8"
12e,Sainte-Avoye,7 501,"21,3"
13e,Saint-Merri,6 523,"31,3"
14e,Saint-Gervais,10 587,"42,2"
15e,Arsenal,9 474,"48,7"
16e,Notre-Dame,4 087,"37,9"
17e,Saint-Victor,11 661,"60,4"
18e,Jardin-des-Plantes,18 005,"79,8"
19e,Val-de-Grâce,19 492,"70,4"
20e,Sorbonne,9 683,"43,3"
21e,Monnaie,6 185,"29,3"
22e,Odéon,8 833,"71,6"
23e,Notre-Dame-des-Champs,24 731,"86,1"
24e,Saint-Germain-des-Prés,5 154,"28,2"
25e,Saint-Thomas-d'Aquin,12 661,"82,7"
26e,Invalides,6 276,"107,4"
27e,École-Militaire,12 895,"80,8"
28e,Gros-Caillou,25 156,"138,2"
29e,Champs-Élysées,4 614,"114,1"
30e,Faubourg-du-Roule,10 038,"79,6"
31e,Madeleine,6 045,"76,1"
32e,Europe,18 606,"118,3"
33e,Saint-Georges,20 850,"71,7"
34e,Chaussée-d'Antin,3 488,"54,3"
35e,Faubourg-Montmartre,9 233,"41,7"
36e,Rochechouart,22 212,"50,1"
37e,Saint-Vincent-de-Paul,21 624,"92,7"
38e,Porte-Saint-Denis,15 066,"47,2"
39e,Porte-Saint-Martin,23 125,"60,9"
40e,Hôpital-Saint-Louis,29 870,"88,4"
41e,Folie-Méricourt,33 002,"72,6"
42e,Saint-Ambroise,32 168,"83,8"
43e,Roquette,47 520,"117,2"
44e,Sainte-Marguerite,36 476,"93,0"
45e,Bel-Air,33 976,"138,6"
46e,Picpus,62 947,"186,3"
47e,Bercy,13 987,"190,3"
48e,Quinze-Vingts,25 752,"123,6"
49e,Salpêtrière,18 246,"118,2"
50e,Gare,69 008,"304,4"
51e,Maison-Blanche,64 797,"223,2"
52e,Croulebarbe,19 526,"69,2"
53e,Montparnasse,18 570,"112,6"
54e,Parc-de-Montsouris,19 793,"135,7"
55e,Petit-Montrouge,37 230,"134,6"
56e,Plaisance,57 229,"178,5"
57e,Saint-Lambert,82 032,"283,1"
58e,Necker,46 932,"157,8"
59e,Grenelle,47 411,"147,8"
60e,Javel,49 092,"260,9"
61e,Auteuil,67 967,"303,0"
62e,Muette,45 214,"203,7"
63e,Porte-Dauphine,27 423,"141,4"
64e,Chaillot,21 213,"142,4"
65e,Ternes,39 137,"146,6"
66e,Plaine-de-Monceaux,38 958,"138,4"
67e,Batignolles,38 691,"144,2"
68e,Épinettes,44 352,"137,8"
69e,Grandes-Carrières,67 152,"190,6"
70e,Clignancourt,64 868,"165,3"
71e,Goutte-d'Or,28 524,"109,0"
72e,Chapelle,24 037,"134,8"
73e,Villette,53 650,"128,6"
74e,Pont-de-Flandre,24 584,"237,7"
75e,Amérique,55 365,"183,6"
76e,Combat,38 988,"129,5"
77e,Belleville,35 773,"80,7"
78e,Saint-Fargeau,42 087,"148,7"
79e,Père-Lachaise,42 332,"159,9"
80e,Charonne,62 901,"209,1"
